ph,r,p,m,Pov_2012,SE_2012,CoV_2012,Pov_2009,SE_2009,CoV_2009,Pov_2006,SE_2006,CoV_2006
PH157007000,ARMM,Tawi-tawi,Tandubas,27.55,4.29,15.57,35.3,6.1,17.4,45.2,8.4,18.6
PH157008000,ARMM,Tawi-tawi,Turtle Islands,30.38,5.96,19.62,28.6,13.0,45.4,43.4,18.9,43.6
PH157009000,ARMM,Tawi-tawi,Languyan,32.05,13.35,41.65,38.0,6.5,17.1,40.0,7.0,17.4
PH157010000,ARMM,Tawi-tawi,Sapa-Sapa,33.32,5.85,17.56,37.2,5.3,14.2,45.7,8.7,19.1
PH157011000,ARMM,Tawi-tawi,Sibutu,31.5,6.05,19.21,38.9,6.9,17.6,34.7,7.8,22.6
PH160201000,Caraga,Agusan del Norte,Buenavista,30.76,3.09,10.05,38.0,3.2,8.5,34.1,3.3,9.7
PH160202000,Caraga,Agusan del Norte,Butuan City,18.65,1.87,10.03,27.6,1.8,6.3,24.6,2.2,8.9
PH160203000,Caraga,Agusan del Norte,Cabadbaran,24.87,2.33,9.37,28.4,2.7,9.6,28.0,3.4,12.1
PH160204000,Caraga,Agusan del Norte,Carmen,37.66,4.71,12.51,40.6,5.2,12.7,37.1,5.1,13.8
PH160205000,Caraga,Agusan del Norte,Jabonga,48.1,3.81,7.92,45.7,3.7,8.1,48.6,5.0,10.3
PH160206000,Caraga,Agusan del Norte,Kitcharao,40.03,4.38,10.94,39.9,4.0,10.0,39.0,6.9,17.7
PH160207000,Caraga,Agusan del Norte,Las Nieves,59.41,4.96,8.35,53.0,3.5,6.6,52.3,5.3,10.1
PH160208000,Caraga,Agusan del Norte,Magallanes,25.85,4.11,15.90,28.6,4.3,15.1,34.2,4.6,13.3
PH160209000,Caraga,Agusan del Norte,Nasipit,20.73,2.61,12.59,28.3,3.1,10.9,23.0,2.9,12.7
PH160210000,Caraga,Agusan del Norte,Santiago,40.54,5.08,12.53,47.7,4.9,10.2,55.5,7.0,12.5
PH160211000,Caraga,Agusan del Norte,Tubay,42.67,3.72,8.72,39.2,4.1,10.5,39.6,5.0,12.6
PH160212000,Caraga,Agusan del Norte,Remedios T. Romualdez,36.07,4.39,12.17,41.0,4.7,11.5,38.3,5.0,13.1
PH160301000,Caraga,Agusan del Sur,Bayugan,35.85,2.62,7.31,48.4,3.1,6.3,46.1,3.1,6.7
PH160302000,Caraga,Agusan del Sur,Bunawan,39.1,4.37,11.18,54.2,3.8,7.1,60.8,5.4,8.9
PH160303000,Caraga,Agusan del Sur,Esperanza,52.85,3.11,5.88,61.9,2.7,4.4,66.9,3.6,5.4
PH160304000,Caraga,Agusan del Sur,La Paz,52.82,4.42,8.37,66.7,3.9,5.9,74.2,4.7,6.3
PH160305000,Caraga,Agusan del Sur,Loreto,48.58,4.25,8.75,56.9,3.9,6.9,70.3,4.0,5.7
PH160306000,Caraga,Agusan del Sur,Prosperidad,39.29,2.96,7.53,52.8,3.1,5.8,53.5,3.6,6.7
PH160307000,Caraga,Agusan del Sur,Rosario,39.97,4.94,12.36,48.2,4.8,10.0,56.0,5.3,9.5
PH160308000,Caraga,Agusan del Sur,San Francisco,30.79,2.23,7.24,39.7,2.6,6.4,41.9,2.9,6.8
PH160309000,Caraga,Agusan del Sur,San Luis,55.67,3.39,6.09,62.0,2.8,4.5,69.7,3.7,5.3
PH160310000,Caraga,Agusan del Sur,Santa Josefa,36.02,3.7,10.27,53.3,3.7,6.9,54.0,4.4,8.1
PH160311000,Caraga,Agusan del Sur,Talacogon,45.97,3.36,7.31,58.0,4.0,6.8,56.1,4.9,8.8
PH160312000,Caraga,Agusan del Sur,Trento,34.04,3.9,11.46,49.1,5.0,10.1,42.6,5.0,11.7
PH160313000,Caraga,Agusan del Sur,Veruela,48.74,4.24,8.70,58.5,3.4,5.8,63.0,4.5,7.1
PH160314000,Caraga,Agusan del Sur,Sibagat,47.75,3.46,7.25,59.4,3.7,6.2,63.3,3.8,6.0
PH166701000,Caraga,Surigao del Norte,Alegria,38.25,3.81,9.96,57.2,4.9,8.5,47.6,4.9,10.4
PH166702000,Caraga,Surigao del Norte,Bacuag,37.14,4.7,12.65,50.6,5.4,10.7,35.3,5.3,15.0
PH166703000,Caraga,Surigao del Norte,Basilisa (Rizal),54.67,5.55,10.15,55.7,4.1,7.3,65.1,4.3,6.5
PH166704000,Caraga,Surigao del Norte,Burgos,40.35,5.6,13.88,53.2,6.0,11.2,46.9,6.3,13.5
PH166705000,Caraga,Surigao del Norte,Cagdiano,54.16,5.11,9.44,55.6,5.1,9.2,60.6,4.8,7.8
PH166706000,Caraga,Surigao del Norte,Claver,41.37,3.32,8.03,49.8,4.7,9.5,38.8,4.2,10.9
PH166707000,Caraga,Surigao del Norte,Dapa,43.49,4.04,9.29,52.2,3.7,7.1,44.0,3.7,8.3
PH166708000,Caraga,Surigao del Norte,Del Carmen,41.16,3.55,8.62,58.9,4.2,7.1,40.7,3.8,9.3
PH166709000,Caraga,Surigao del Norte,Dinagat,49.38,3.68,7.45,57.6,5.1,8.9,55.1,5.1,9.2
PH166710000,Caraga,Surigao del Norte,General Luna,44.49,3.38,7.60,55.4,4.3,7.8,50.6,4.8,9.5
PH166711000,Caraga,Surigao del Norte,Gigaquit,41.53,4.1,9.87,59.6,4.8,8.0,45.2,5.1,11.4
PH166712000,Caraga,Surigao del Norte,Libjo (Albor),47.11,4.01,8.51,54.1,4.7,8.7,59.8,5.0,8.3
PH166713000,Caraga,Surigao del Norte,Loreto,31.36,4.32,13.78,54.2,5.1,9.4,29.9,4.0,13.2
PH166714000,Caraga,Surigao del Norte,Mainit,41.69,3.55,8.52,57.0,4.1,7.2,42.5,4.5,10.7
PH166715000,Caraga,Surigao del Norte,Malimono,51.8,6.98,13.47,50.3,5.1,10.2,51.2,4.9,9.6
PH166716000,Caraga,Surigao del Norte,Pilar,46.38,3.88,8.37,62.8,4.4,6.9,54.4,5.3,9.7
PH166717000,Caraga,Surigao del Norte,Placer,29.47,3.24,10.99,47.7,4.2,8.9,30.6,3.5,11.5
PH166718000,Caraga,Surigao del Norte,San Benito,42.4,5.91,13.94,62.6,5.1,8.2,48.2,7.1,14.8
PH166719000,Caraga,Surigao del Norte,San Francisco (Anao-Aon),31.61,3.29,10.41,48.8,4.4,8.9,44.6,4.3,9.6
PH166720000,Caraga,Surigao del Norte,San Isidro,46.15,3.9,8.45,51.7,5.6,10.8,49.6,6.0,12.2
PH166721000,Caraga,Surigao del Norte,Santa Monica (Sapao),36.1,3.27,9.06,52.4,4.2,8.1,45.4,5.0,11.0
PH166722000,Caraga,Surigao del Norte,Sison,45,4.59,10.20,52.1,4.9,9.5,41.1,5.2,12.6
PH166723000,Caraga,Surigao del Norte,Socorro,58.74,6.28,10.69,52.1,5.9,11.4,54.0,5.7,10.6
PH166724000,Caraga,Surigao del Norte,Surigao City,21.54,2.01,9.33,40.1,3.0,7.4,32.4,2.9,8.9
PH166725000,Caraga,Surigao del Norte,Tagana-an,43.68,4.04,9.25,50.4,5.1,10.1,49.6,4.3,8.7
PH166726000,Caraga,Surigao del Norte,Tubajon,41.64,4.35,10.45,56.3,5.4,9.6,47.6,5.3,11.1
PH166727000,Caraga,Surigao del Norte,Tubod,30.98,3.81,12.30,47.8,4.5,9.4,30.6,4.4,14.4
PH166728000,Caraga,Surigao del Norte,San Jose,35.32,3.37,9.54,46.7,4.4,9.4,49.2,4.9,9.9
PH166801000,Caraga,Surigao del Sur,Barobo,30.48,3.89,12.76,45.7,4.4,9.6,42.5,4.7,11.1
PH166802000,Caraga,Surigao del Sur,Bayabas,28.73,4.88,16.99,39.4,5.2,13.2,44.3,5.5,12.5
PH166803000,Caraga,Surigao del Sur,Bislig,20.58,3.46,16.81,34.2,4.9,14.3,26.6,4.3,16.0
PH166804000,Caraga,Surigao del Sur,Cagwait,23.77,3.9,16.41,39.4,4.9,12.3,40.5,5.9,14.7
PH166805000,Caraga,Surigao del Sur,Cantilan,17.56,2.45,13.95,25.7,2.8,10.9,20.0,3.7,18.3
PH166806000,Caraga,Surigao del Sur,Carmen,24.59,4.4,17.89,34.6,5.2,14.9,30.6,4.7,15.2
PH166807000,Caraga,Surigao del Sur,Carrascal,26.38,3.64,13.80,32.7,3.9,11.9,32.0,3.6,11.3
PH166808000,Caraga,Surigao del Sur,Cortes,23.34,3.72,15.94,36.4,4.9,13.5,42.0,6.3,14.9
PH166809000,Caraga,Surigao del Sur,Hinatuan,29.35,3.54,12.06,43.6,3.1,7.1,43.3,3.7,8.6
PH166810000,Caraga,Surigao del Sur,Lanuza,33.14,4.22,12.73,35.1,4.4,12.4,41.2,4.4,10.7
PH166811000,Caraga,Surigao del Sur,Lianga,29.24,3.98,13.61,37.0,4.2,11.3,29.2,4.1,13.9
PH166812000,Caraga,Surigao del Sur,Lingig,33.97,3.97,11.69,48.9,4.3,8.8,45.2,4.7,10.4
PH166813000,Caraga,Surigao del Sur,Madrid,20.81,2.97,14.27,33.0,3.7,11.1,25.0,3.1,12.4
PH166814000,Caraga,Surigao del Sur,Marihatag,38.03,3.88,10.20,50.3,4.4,8.8,48.3,5.5,11.3
PH166815000,Caraga,Surigao del Sur,San Agustin,37.37,4.63,12.39,49.9,4.0,8.0,44.7,5.3,11.7
PH166816000,Caraga,Surigao del Sur,San Miguel,37.45,3.89,10.39,50.5,3.7,7.3,50.1,4.7,9.4
PH166817000,Caraga,Surigao del Sur,Tagbina,31.68,3.2,10.10,48.0,3.7,7.8,47.1,4.6,9.7
PH166818000,Caraga,Surigao del Sur,Tago,26.9,3.05,11.34,37.5,3.2,8.5,41.5,4.4,10.7
PH166819000,Caraga,Surigao del Sur,Tandag,16.04,2.46,15.34,26.3,2.7,10.3,24.3,3.1,12.7
