ph,r,p,m,Pov_2012,SE_2012,CoV_2012,Pov_2009,SE_2009,CoV_2009,Pov_2006,SE_2006,CoV_2006
PH126502000,Region XII,Sultan Kudarat,Colombio,54.67,4.34,7.94,54.4,5.7,10.5,45.5,5.6,12.4
PH126503000,Region XII,Sultan Kudarat,Esperanza,38.57,3.34,8.66,33.2,3.5,10.5,31.3,5.3,17.0
PH126504000,Region XII,Sultan Kudarat,Isulan,29.94,3.87,12.93,26.8,3.3,12.3,25.5,3.6,14.3
PH126505000,Region XII,Sultan Kudarat,Kalamansig,50.98,5.01,9.83,50.6,4.9,9.6,47.3,4.9,10.3
PH126506000,Region XII,Sultan Kudarat,Lebak,50.92,3.83,7.52,46.0,3.7,8.1,37.1,3.4,9.1
PH126507000,Region XII,Sultan Kudarat,Lutayan,51.25,4.76,9.29,51.1,5.6,11.0,58.8,6.7,11.5
PH126508000,Region XII,Sultan Kudarat,Lambayong,42.08,3.46,8.22,41.4,3.9,9.4,34.2,3.7,10.9
PH126509000,Region XII,Sultan Kudarat,Palimbang,57.58,5.58,9.69,63.7,4.0,6.2,50.0,5.5,10.9
PH126510000,Region XII,Sultan Kudarat,President Quirino,32.74,3.36,10.26,31.7,4.2,13.1,31.9,4.6,14.3
PH126511000,Region XII,Sultan Kudarat,Tacurong City,22.15,3.2,14.45,18.5,2.5,13.6,19.6,2.8,14.3
PH126512000,Region XII,Sultan Kudarat,Sen. Ninoy Aquino,54.6,4.77,8.74,47.6,4.6,9.6,40.9,3.8,9.2
PH128001000,Region XII,Sarangani,Alabel,45.88,5.22,11.38,41.0,4.9,12.0,32.3,5.5,17.0
PH128002000,Region XII,Sarangani,Glan,49.03,4,8.16,47.0,4.2,8.8,37.2,3.3,8.8
PH128003000,Region XII,Sarangani,Kiamba,36.42,4.18,11.48,45.0,4.9,11.0,31.3,4.3,13.6
PH128004000,Region XII,Sarangani,Maasim,44.09,5.01,11.36,52.2,5.8,11.2,37.7,5.0,13.2
PH128005000,Region XII,Sarangani,Maitum,39.77,3.8,9.55,42.8,4.2,9.9,32.5,4.0,12.2
PH128006000,Region XII,Sarangani,Malapatan,53.11,5.52,10.39,54.1,6.0,11.0,43.9,7.0,15.9
PH128007000,Region XII,Sarangani,Malungon,47.04,4.67,9.93,45.3,4.1,9.0,37.9,3.8,10.0
PH129804000,Region XII,Cotabato City,Cotobato City,29.71,2.77,9.32,26.9,5.4,18.4,21.1,3.5,16.4
PH150702000,ARMM,Basilan,Lamitan,31.94,3.19,9.99,17.5,3.6,20.4,33.8,5.7,16.8
PH150703000,ARMM,Basilan,Lantawan,34.76,4.64,13.35,25.2,4.3,17.2,47.0,7.8,16.6
PH150704000,ARMM,Basilan,Maluso,37.52,5.34,14.23,39.2,6.7,17.0,48.0,8.1,17.0
PH150705000,ARMM,Basilan,Sumisip,52.81,6.24,11.82,29.4,4.9,16.8,49.6,6.8,13.7
PH150706000,ARMM,Basilan,Tipo-Tipo,35.09,5.88,16.76,28.0,6.3,22.4,38.7,8.9,23.1
PH150707000,ARMM,Basilan,Tuburan,43.46,5.97,13.74,37.6,7.4,19.7,50.7,12.3,24.2
PH150708000,ARMM,Basilan,Akbar,53.92,7.49,13.89,32.7,7.0,21.3,41.4,12.9,31.1
PH150709000,ARMM,Basilan,Al-barka,57.02,8.07,14.15,27.0,5.0,18.5,45.5,9.6,21.1
PH150710000,ARMM,Basilan,Hadji Mohammad Ajul,45.53,6.25,13.73,30.5,5.4,17.8,48.3,9.6,20.0
PH150711000,ARMM,Basilan,Ungkaya Pukan,48.66,6.64,13.65,26.5,5.8,21.8,47.0,10.0,21.4
PH150712000,ARMM,Basilan,Hadju Muhtamad,45.71,7.37,16.12,35.5,6.6,18.6,-,-,-
PH150713000,ARMM,Basilan,Tabuan-Lasa,51.56,7.6,14.74,40.3,7.4,18.3,-,-,-
PH153601000,ARMM,Lanao del Sur,Bacolod-Kalawi,84.76,5.64,6.65,29.4,4.1,13.9,33.6,9.1,27.0
PH153602000,ARMM,Lanao del Sur,Balabagan,53.89,5.21,9.67,34.4,4.7,13.6,28.7,6.8,23.7
PH153603000,ARMM,Lanao del Sur,Balindong (Watu),63.55,5.79,9.11,42.9,7.0,16.3,36.8,9.1,24.6
PH153604000,ARMM,Lanao del Sur,Bayang,69.8,5.67,8.12,33.9,4.9,14.5,36.5,9.1,25.0
PH153605000,ARMM,Lanao del Sur,Binidayan,63.85,5.18,8.11,36.8,5.7,15.5,25.3,7.2,28.4
PH153606000,ARMM,Lanao del Sur,Bubong,52.88,7.35,13.90,42.6,7.0,16.5,35.0,10.1,28.7
PH153607000,ARMM,Lanao del Sur,Butig,58.91,5.75,9.76,37.1,6.1,16.4,30.6,7.6,24.8
PH153609000,ARMM,Lanao del Sur,Ganassi,68.84,5.5,7.99,34.8,4.9,14.0,30.2,7.1,23.4
PH153610000,ARMM,Lanao del Sur,Kapai,74.76,6.16,8.24,43.0,6.5,15.1,41.7,11.2,26.8
